,word,event,anxiety,response,Model
99,Common,mild,0,0.3,ChatGPT
100,Very Common,severe,1,0.2,ChatGPT
101,Very Common,severe,0,0.3,ChatGPT
102,Very Common,mild,1,0.6,ChatGPT
103,Very Common,mild,0,0.75,ChatGPT
104,Probable,severe,1,0.75,ChatGPT
105,Probable,severe,0,0.7,ChatGPT
106,Probable,mild,1,0.7,ChatGPT
107,Probable,mild,0,0.7,ChatGPT
108,Likely,severe,1,0.7,ChatGPT
109,Likely,severe,0,0.7,ChatGPT
110,Likely,mild,1,0.7,ChatGPT
111,Likely,mild,0,0.7,ChatGPT
112,Usual,severe,1,0.5,ChatGPT
113,Usual,severe,0,0.5,ChatGPT
114,Usual,mild,1,0.7,ChatGPT
115,Usual,mild,0,0.5,ChatGPT
116,Very Likely,severe,1,0.75,ChatGPT
117,Very Likely,severe,0,0.75,ChatGPT
118,Very Likely,mild,1,0.8,ChatGPT
119,Very Likely,mild,0,0.8,ChatGPT
120,Rare,severe,1,0.01,ChatGPT
121,Rare,severe,0,0.05,ChatGPT
122,Rare,mild,1,0.05,ChatGPT
123,Rare,mild,0,0.05,ChatGPT
124,Uncommon,severe,1,0.05,ChatGPT
125,Uncommon,severe,0,0.05,ChatGPT
126,Uncommon,mild,1,0.05,ChatGPT
127,Uncommon,mild,0,0.1,ChatGPT
128,Unlikely,severe,1,0.05,ChatGPT
129,Unlikely,severe,0,0.1,ChatGPT
130,Unlikely,mild,1,0.1,ChatGPT
131,Unlikely,mild,0,0.25,ChatGPT
132,Possible,severe,1,0.15,ChatGPT
133,Possible,severe,0,0.2,ChatGPT
134,Possible,mild,1,0.5,ChatGPT
135,Possible,mild,0,0.25,ChatGPT
136,Common,severe,1,0.3,ChatGPT
137,Common,severe,0,0.25,ChatGPT
138,Common,mild,1,0.25,ChatGPT
139,Common,mild,0,0.45,ChatGPT
140,Very Common,severe,1,0.2,ChatGPT
141,Very Common,severe,0,0.2,ChatGPT
142,Very Common,mild,1,0.42,ChatGPT
143,Very Common,mild,0,0.75,ChatGPT
144,Probable,severe,1,0.6,ChatGPT
145,Probable,severe,0,0.7,ChatGPT
146,Probable,mild,1,0.75,ChatGPT
147,Probable,mild,0,0.7,ChatGPT
148,Likely,severe,1,0.6,ChatGPT
149,Likely,severe,0,0.6,ChatGPT
150,Likely,mild,1,0.7,ChatGPT
151,Likely,mild,0,0.6,ChatGPT
152,Usual,severe,1,0.8,ChatGPT
153,Usual,severe,0,0.8,ChatGPT
154,Usual,mild,1,0.3,ChatGPT
155,Usual,mild,0,0.5,ChatGPT
156,Very Likely,severe,1,0.7,ChatGPT
157,Very Likely,severe,0,0.8,ChatGPT
158,Very Likely,mild,1,0.8,ChatGPT
159,Very Likely,mild,0,0.8,ChatGPT
160,Rare,severe,1,0.01,ChatGPT
161,Rare,severe,0,0.05,ChatGPT
162,Rare,mild,1,0.01,ChatGPT
163,Rare,mild,0,0.05,ChatGPT
164,Uncommon,severe,1,0.05,ChatGPT
165,Uncommon,severe,0,0.05,ChatGPT
166,Uncommon,mild,1,0.05,ChatGPT
167,Uncommon,mild,0,0.1,ChatGPT
168,Unlikely,severe,1,0.05,ChatGPT
169,Unlikely,severe,0,0.2,ChatGPT
170,Unlikely,mild,1,0.2,ChatGPT
171,Unlikely,mild,0,0.1,ChatGPT
172,Possible,severe,1,0.5,ChatGPT
173,Possible,severe,0,0.1,ChatGPT
174,Possible,mild,1,0.5,ChatGPT
175,Possible,mild,0,0.05,ChatGPT
176,Common,severe,1,0.15,ChatGPT
177,Common,severe,0,0.25,ChatGPT
178,Common,mild,1,0.25,ChatGPT
179,Common,mild,0,0.6,ChatGPT
180,Very Common,severe,1,0.2,ChatGPT
181,Very Common,severe,0,0.8,ChatGPT
182,Very Common,mild,1,0.4,ChatGPT
183,Very Common,mild,0,0.75,ChatGPT
184,Probable,severe,1,0.7,ChatGPT
185,Probable,severe,0,0.7,ChatGPT
186,Probable,mild,1,0.6,ChatGPT
187,Probable,mild,0,0.7,ChatGPT
188,Likely,severe,1,0.7,ChatGPT
189,Likely,severe,0,0.7,ChatGPT
190,Likely,mild,1,0.7,ChatGPT
191,Likely,mild,0,0.7,ChatGPT
192,Usual,severe,1,0.25,ChatGPT
193,Usual,severe,0,0.5,ChatGPT
194,Usual,mild,1,0.2,ChatGPT
195,Usual,mild,0,0.35,ChatGPT
196,Very Likely,severe,1,0.75,ChatGPT
197,Very Likely,severe,0,0.7,ChatGPT
198,Very Likely,mild,1,0.9,ChatGPT
199,Very Likely,mild,0,0.7,ChatGPT
200,Rare,severe,1,0.01,ChatGPT
201,Rare,severe,0,0.01,ChatGPT
202,Rare,mild,1,0.05,ChatGPT
203,Rare,mild,0,0.05,ChatGPT
204,Uncommon,severe,1,0.05,ChatGPT
205,Uncommon,severe,0,0.05,ChatGPT
206,Uncommon,mild,1,0.1,ChatGPT
207,Uncommon,mild,0,0.15,ChatGPT
208,Unlikely,severe,1,0.1,ChatGPT
209,Unlikely,severe,0,0.1,ChatGPT
210,Unlikely,mild,1,0.1,ChatGPT
211,Unlikely,mild,0,0.2,ChatGPT
212,Possible,severe,1,0.2,ChatGPT
213,Possible,severe,0,0.2,ChatGPT
214,Possible,mild,1,0.2,ChatGPT
215,Possible,mild,0,0.3,ChatGPT
216,Common,severe,1,0.2,ChatGPT
217,Common,severe,0,0.38,ChatGPT
218,Common,mild,1,0.4,ChatGPT
219,Common,mild,0,0.5,ChatGPT
220,Very Common,severe,1,0.2,ChatGPT
221,Very Common,severe,0,0.3,ChatGPT
222,Very Common,mild,1,0.6,ChatGPT
223,Very Common,mild,0,0.75,ChatGPT
224,Probable,severe,1,0.6,ChatGPT
225,Probable,severe,0,0.7,ChatGPT
226,Probable,mild,1,0.7,ChatGPT
227,Probable,mild,0,0.7,ChatGPT
228,Likely,severe,1,0.7,ChatGPT
229,Likely,severe,0,0.7,ChatGPT
230,Likely,mild,1,0.7,ChatGPT
231,Likely,mild,0,0.6,ChatGPT
232,Usual,severe,1,0.5,ChatGPT
233,Usual,severe,0,0.5,ChatGPT
234,Usual,mild,1,0.2,ChatGPT
235,Usual,mild,0,0.6,ChatGPT
236,Very Likely,severe,1,0.75,ChatGPT
237,Very Likely,severe,0,0.75,ChatGPT
238,Very Likely,mild,1,0.75,ChatGPT
239,Very Likely,mild,0,0.75,ChatGPT
240,Rare,severe,1,0.02,ChatGPT
241,Rare,severe,0,0.1,ChatGPT
242,Rare,mild,1,0.05,ChatGPT
243,Rare,mild,0,0.05,ChatGPT
244,Uncommon,severe,1,0.05,ChatGPT
245,Uncommon,severe,0,0.05,ChatGPT
246,Uncommon,mild,1,0.05,ChatGPT
247,Uncommon,mild,0,0.15,ChatGPT
248,Unlikely,severe,1,0.3,ChatGPT
249,Unlikely,severe,0,0.15,ChatGPT
250,Unlikely,mild,1,0.2,ChatGPT
251,Unlikely,mild,0,0.2,ChatGPT
252,Possible,severe,1,0.25,ChatGPT
253,Possible,severe,0,0.3,ChatGPT
254,Possible,mild,1,0.2,ChatGPT
255,Possible,mild,0,0.15,ChatGPT
256,Common,severe,1,0.6,ChatGPT
257,Common,severe,0,0.5,ChatGPT
258,Common,mild,1,0.4,ChatGPT
259,Common,mild,0,0.5,ChatGPT
260,Very Common,severe,1,0.2,ChatGPT
261,Very Common,severe,0,0.75,ChatGPT
262,Very Common,mild,1,0.6,ChatGPT
263,Very Common,mild,0,0.75,ChatGPT
264,Probable,severe,1,0.7,ChatGPT
265,Probable,severe,0,0.7,ChatGPT
266,Probable,mild,1,0.7,ChatGPT
267,Probable,mild,0,0.7,ChatGPT
268,Likely,severe,1,0.7,ChatGPT
269,Likely,severe,0,0.7,ChatGPT
270,Likely,mild,1,0.7,ChatGPT
271,Likely,mild,0,0.7,ChatGPT
272,Usual,severe,1,0.3,ChatGPT
273,Usual,severe,0,0.3,ChatGPT
274,Usual,mild,1,0.5,ChatGPT
275,Usual,mild,0,0.5,ChatGPT
276,Very Likely,severe,1,0.75,ChatGPT
277,Very Likely,severe,0,0.7,ChatGPT
278,Very Likely,mild,1,0.85,ChatGPT
279,Very Likely,mild,0,0.7,ChatGPT
280,Rare,severe,1,0.01,ChatGPT
281,Rare,severe,0,0.01,ChatGPT
282,Rare,mild,1,0.05,ChatGPT
283,Rare,mild,0,0.01,ChatGPT
284,Uncommon,severe,1,0.05,ChatGPT
285,Uncommon,severe,0,0.05,ChatGPT
286,Uncommon,mild,1,0.05,ChatGPT
287,Uncommon,mild,0,0.1,ChatGPT
288,Unlikely,severe,1,0.05,ChatGPT
289,Unlikely,severe,0,0.2,ChatGPT
290,Unlikely,mild,1,0.2,ChatGPT
291,Unlikely,mild,0,0.2,ChatGPT
292,Possible,severe,1,0.2,ChatGPT
293,Possible,severe,0,0.1,ChatGPT
294,Possible,mild,1,0.05,ChatGPT
295,Possible,mild,0,0.25,ChatGPT
296,Common,severe,1,0.2,ChatGPT
297,Common,severe,0,0.3,ChatGPT
298,Common,mild,1,0.3,ChatGPT
299,Common,mild,0,0.25,ChatGPT
300,Very Common,severe,1,0.6,ChatGPT
301,Very Common,severe,0,0.3,ChatGPT
302,Very Common,mild,1,0.7,ChatGPT
303,Very Common,mild,0,0.7,ChatGPT
304,Probable,severe,1,0.5,ChatGPT
305,Probable,severe,0,0.7,ChatGPT
306,Probable,mild,1,0.6,ChatGPT
307,Probable,mild,0,0.7,ChatGPT
308,Likely,severe,1,0.7,ChatGPT
309,Likely,severe,0,0.7,ChatGPT
310,Likely,mild,1,0.7,ChatGPT
311,Likely,mild,0,0.7,ChatGPT
312,Usual,severe,1,0.3,ChatGPT
313,Usual,severe,0,0.5,ChatGPT
314,Usual,mild,1,0.5,ChatGPT
315,Usual,mild,0,0.5,ChatGPT
316,Very Likely,severe,1,0.75,ChatGPT
317,Very Likely,severe,0,0.75,ChatGPT
318,Very Likely,mild,1,0.7,ChatGPT
319,Very Likely,mild,0,0.75,ChatGPT
320,Rare,severe,1,0.05,ChatGPT
321,Rare,severe,0,0.05,ChatGPT
322,Rare,mild,1,0.05,ChatGPT
323,Rare,mild,0,0.05,ChatGPT
324,Uncommon,severe,1,0.05,ChatGPT
325,Uncommon,severe,0,0.05,ChatGPT
326,Uncommon,mild,1,0.2,ChatGPT
327,Uncommon,mild,0,0.1,ChatGPT
328,Unlikely,severe,1,0.1,ChatGPT
329,Unlikely,severe,0,0.25,ChatGPT
330,Unlikely,mild,1,0.1,ChatGPT
331,Unlikely,mild,0,0.2,ChatGPT
332,Possible,severe,1,0.2,ChatGPT
333,Possible,severe,0,0.05,ChatGPT
334,Possible,mild,1,0.2,ChatGPT
335,Possible,mild,0,0.19,ChatGPT
336,Common,severe,1,0.12,ChatGPT
337,Common,severe,0,0.2,ChatGPT
338,Common,mild,1,0.2,ChatGPT
339,Common,mild,0,0.4,ChatGPT
340,Very Common,severe,1,0.3,ChatGPT
341,Very Common,severe,0,0.7,ChatGPT
342,Very Common,mild,1,0.2,ChatGPT
343,Very Common,mild,0,0.8,ChatGPT
344,Probable,severe,1,0.7,ChatGPT
345,Probable,severe,0,0.7,ChatGPT
346,Probable,mild,1,0.7,ChatGPT
347,Probable,mild,0,0.7,ChatGPT
348,Likely,severe,1,0.7,ChatGPT
349,Likely,severe,0,0.7,ChatGPT
350,Likely,mild,1,0.7,ChatGPT
351,Likely,mild,0,0.6,ChatGPT
352,Usual,severe,1,0.5,ChatGPT
353,Usual,severe,0,0.3,ChatGPT
354,Usual,mild,1,0.2,ChatGPT
355,Usual,mild,0,0.5,ChatGPT
356,Very Likely,severe,1,0.75,ChatGPT
357,Very Likely,severe,0,0.7,ChatGPT
358,Very Likely,mild,1,0.75,ChatGPT
359,Very Likely,mild,0,0.75,ChatGPT
360,Rare,severe,1,0.02,ChatGPT
361,Rare,severe,0,0.01,ChatGPT
362,Rare,mild,1,0.05,ChatGPT
363,Rare,mild,0,0.05,ChatGPT
364,Uncommon,severe,1,0.1,ChatGPT
365,Uncommon,severe,0,0.05,ChatGPT
366,Uncommon,mild,1,0.1,ChatGPT
367,Uncommon,mild,0,0.08,ChatGPT
368,Unlikely,severe,1,0.05,ChatGPT
369,Unlikely,severe,0,0.25,ChatGPT
370,Unlikely,mild,1,0.2,ChatGPT
371,Unlikely,mild,0,0.15,ChatGPT
372,Possible,severe,1,0.05,ChatGPT
373,Possible,severe,0,0.2,ChatGPT
374,Possible,mild,1,0.2,ChatGPT
375,Possible,mild,0,0.5,ChatGPT
376,Common,severe,1,0.3,ChatGPT
377,Common,severe,0,0.4,ChatGPT
378,Common,mild,1,0.5,ChatGPT
379,Common,mild,0,0.4,ChatGPT
380,Very Common,severe,1,0.2,ChatGPT
381,Very Common,severe,0,0.3,ChatGPT
382,Very Common,mild,1,0.5,ChatGPT
383,Very Common,mild,0,0.6,ChatGPT
384,Probable,severe,1,0.7,ChatGPT
385,Probable,severe,0,0.7,ChatGPT
386,Probable,mild,1,0.7,ChatGPT
387,Probable,mild,0,0.7,ChatGPT
388,Likely,severe,1,0.7,ChatGPT
389,Likely,severe,0,0.7,ChatGPT
390,Likely,mild,1,0.6,ChatGPT
391,Likely,mild,0,0.7,ChatGPT
392,Usual,severe,1,0.3,ChatGPT
393,Usual,severe,0,0.25,ChatGPT
394,Usual,mild,1,0.2,ChatGPT
395,Usual,mild,0,0.3,ChatGPT
396,Very Likely,severe,1,0.8,ChatGPT
397,Very Likely,severe,0,0.7,ChatGPT
398,Very Likely,mild,1,0.8,ChatGPT
399,Very Likely,mild,0,0.7,ChatGPT
400,Rare,severe,1,0.05,ChatGPT
401,Rare,severe,0,0.05,ChatGPT
402,Rare,mild,1,0.05,ChatGPT
403,Rare,mild,0,0.05,ChatGPT
404,Uncommon,severe,1,0.05,ChatGPT
405,Uncommon,severe,0,0.05,ChatGPT
406,Uncommon,mild,1,0.05,ChatGPT
407,Uncommon,mild,0,0.1,ChatGPT
408,Unlikely,severe,1,0.05,ChatGPT
409,Unlikely,severe,0,0.3,ChatGPT
410,Unlikely,mild,1,0.1,ChatGPT
411,Unlikely,mild,0,0.2,ChatGPT
412,Possible,severe,1,0.2,ChatGPT
413,Possible,severe,0,0.15,ChatGPT
414,Possible,mild,1,0.1,ChatGPT
415,Possible,mild,0,0.2,ChatGPT
416,Common,severe,1,0.25,ChatGPT
417,Common,severe,0,0.2,ChatGPT
418,Common,mild,1,0.75,ChatGPT
419,Common,mild,0,0.4,ChatGPT
420,Very Common,severe,1,0.3,ChatGPT
421,Very Common,severe,0,0.4,ChatGPT
422,Very Common,mild,1,0.7,ChatGPT
423,Very Common,mild,0,0.7,ChatGPT
424,Probable,severe,1,0.7,ChatGPT
425,Probable,severe,0,0.7,ChatGPT
426,Probable,mild,1,0.7,ChatGPT
427,Probable,mild,0,0.7,ChatGPT
428,Likely,severe,1,0.6,ChatGPT
429,Likely,severe,0,0.6,ChatGPT
430,Likely,mild,1,0.7,ChatGPT
431,Likely,mild,0,0.6,ChatGPT
432,Usual,severe,1,0.5,ChatGPT
433,Usual,severe,0,0.5,ChatGPT
434,Usual,mild,1,0.5,ChatGPT
435,Usual,mild,0,0.6,ChatGPT
436,Very Likely,severe,1,0.8,ChatGPT
437,Very Likely,severe,0,0.8,ChatGPT
438,Very Likely,mild,1,0.75,ChatGPT
439,Very Likely,mild,0,0.7,ChatGPT
440,Rare,severe,1,0.04,ChatGPT
441,Rare,severe,0,0.01,ChatGPT
442,Rare,mild,1,0.05,ChatGPT
443,Rare,mild,0,0.05,ChatGPT
444,Uncommon,severe,1,0.05,ChatGPT
445,Uncommon,severe,0,0.1,ChatGPT
446,Uncommon,mild,1,0.05,ChatGPT
447,Uncommon,mild,0,0.1,ChatGPT
448,Unlikely,severe,1,0.1,ChatGPT
449,Unlikely,severe,0,0.15,ChatGPT
450,Unlikely,mild,1,0.2,ChatGPT
451,Unlikely,mild,0,0.2,ChatGPT
452,Possible,severe,1,0.3,ChatGPT
453,Possible,severe,0,0.2,ChatGPT
454,Possible,mild,1,0.25,ChatGPT
455,Possible,mild,0,0.3,ChatGPT
456,Common,severe,1,0.3,ChatGPT
457,Common,severe,0,0.2,ChatGPT
458,Common,mild,1,0.25,ChatGPT
459,Common,mild,0,0.3,ChatGPT
460,Very Common,severe,1,0.2,ChatGPT
461,Very Common,severe,0,0.7,ChatGPT
462,Very Common,mild,1,0.65,ChatGPT
463,Very Common,mild,0,0.75,ChatGPT
464,Probable,severe,1,0.6,ChatGPT
465,Probable,severe,0,0.75,ChatGPT
466,Probable,mild,1,0.6,ChatGPT
467,Probable,mild,0,0.7,ChatGPT
468,Likely,severe,1,0.7,ChatGPT
469,Likely,severe,0,0.6,ChatGPT
470,Likely,mild,1,0.7,ChatGPT
471,Likely,mild,0,0.7,ChatGPT
472,Usual,severe,1,0.5,ChatGPT
473,Usual,severe,0,0.7,ChatGPT
474,Usual,mild,1,0.3,ChatGPT
475,Usual,mild,0,0.5,ChatGPT
476,Very Likely,severe,1,0.75,ChatGPT
477,Very Likely,severe,0,0.7,ChatGPT
478,Very Likely,mild,1,0.85,ChatGPT
479,Very Likely,mild,0,0.8,ChatGPT
480,Rare,severe,1,0.01,ChatGPT
481,Rare,severe,0,0.05,ChatGPT
482,Rare,mild,1,0.01,ChatGPT
483,Rare,mild,0,0.05,ChatGPT
484,Uncommon,severe,1,0.1,ChatGPT
485,Uncommon,severe,0,0.1,ChatGPT
486,Uncommon,mild,1,0.2,ChatGPT
487,Uncommon,mild,0,0.1,ChatGPT
488,Unlikely,severe,1,0.1,ChatGPT
489,Unlikely,severe,0,0.2,ChatGPT
490,Unlikely,mild,1,0.1,ChatGPT
491,Unlikely,mild,0,0.15,ChatGPT
492,Possible,severe,1,0.3,ChatGPT
493,Possible,severe,0,0.2,ChatGPT
494,Possible,mild,1,0.25,ChatGPT
495,Possible,mild,0,0.2,ChatGPT
496,Common,severe,1,0.15,ChatGPT
497,Common,severe,0,0.25,ChatGPT
498,Common,mild,1,0.3,ChatGPT
499,Common,mild,0,0.3,ChatGPT
500,Very Common,severe,1,0.35,ChatGPT
501,Very Common,severe,0,0.6,ChatGPT
502,Very Common,mild,1,0.25,ChatGPT
503,Very Common,mild,0,0.7,ChatGPT
504,Probable,severe,1,0.7,ChatGPT
505,Probable,severe,0,0.6,ChatGPT
506,Probable,mild,1,0.7,ChatGPT
507,Probable,mild,0,0.7,ChatGPT
508,Likely,severe,1,0.45,ChatGPT
509,Likely,severe,0,0.6,ChatGPT
510,Likely,mild,1,0.7,ChatGPT
511,Likely,mild,0,0.6,ChatGPT
512,Usual,severe,1,0.5,ChatGPT
513,Usual,severe,0,0.5,ChatGPT
514,Usual,mild,1,0.25,ChatGPT
515,Usual,mild,0,0.5,ChatGPT
516,Very Likely,severe,1,0.8,ChatGPT
517,Very Likely,severe,0,0.8,ChatGPT
518,Very Likely,mild,1,0.75,ChatGPT
519,Very Likely,mild,0,0.8,ChatGPT
520,Rare,severe,1,0.01,ChatGPT
521,Rare,severe,0,0.01,ChatGPT
522,Rare,mild,1,0.05,ChatGPT
523,Rare,mild,0,0.05,ChatGPT
524,Uncommon,severe,1,0.05,ChatGPT
525,Uncommon,severe,0,0.05,ChatGPT
526,Uncommon,mild,1,0.05,ChatGPT
527,Uncommon,mild,0,0.1,ChatGPT
528,Unlikely,severe,1,0.05,ChatGPT
529,Unlikely,severe,0,0.25,ChatGPT
530,Unlikely,mild,1,0.15,ChatGPT
531,Unlikely,mild,0,0.2,ChatGPT
532,Possible,severe,1,0.2,ChatGPT
533,Possible,severe,0,0.1,ChatGPT
534,Possible,mild,1,0.15,ChatGPT
535,Possible,mild,0,0.2,ChatGPT
536,Common,severe,1,0.1,ChatGPT
537,Common,severe,0,0.2,ChatGPT
538,Common,mild,1,0.3,ChatGPT
539,Common,mild,0,0.4,ChatGPT
540,Very Common,severe,1,0.2,ChatGPT
541,Very Common,severe,0,0.75,ChatGPT
542,Very Common,mild,1,0.5,ChatGPT
543,Very Common,mild,0,0.7,ChatGPT
544,Probable,severe,1,0.7,ChatGPT
545,Probable,severe,0,0.7,ChatGPT
546,Probable,mild,1,0.7,ChatGPT
547,Probable,mild,0,0.7,ChatGPT
548,Likely,severe,1,0.7,ChatGPT
549,Likely,severe,0,0.7,ChatGPT
550,Likely,mild,1,0.75,ChatGPT
551,Likely,mild,0,0.6,ChatGPT
552,Usual,severe,1,0.7,ChatGPT
553,Usual,severe,0,0.5,ChatGPT
554,Usual,mild,1,0.7,ChatGPT
555,Usual,mild,0,0.75,ChatGPT
556,Very Likely,severe,1,0.8,ChatGPT
557,Very Likely,severe,0,0.8,ChatGPT
558,Very Likely,mild,1,0.8,ChatGPT
559,Very Likely,mild,0,0.8,ChatGPT
560,Rare,severe,1,0.05,ChatGPT
561,Rare,severe,0,0.09,ChatGPT
562,Rare,mild,1,0.05,ChatGPT
563,Rare,mild,0,0.05,ChatGPT
564,Uncommon,severe,1,0.05,ChatGPT
565,Uncommon,severe,0,0.05,ChatGPT
566,Uncommon,mild,1,0.1,ChatGPT
567,Uncommon,mild,0,0.1,ChatGPT
568,Unlikely,severe,1,0.1,ChatGPT
569,Unlikely,severe,0,0.2,ChatGPT
570,Unlikely,mild,1,0.15,ChatGPT
571,Unlikely,mild,0,0.1,ChatGPT
572,Possible,severe,1,0.05,ChatGPT
573,Possible,severe,0,0.25,ChatGPT
574,Possible,mild,1,0.3,ChatGPT
575,Possible,mild,0,0.35,ChatGPT
576,Common,severe,1,0.2,ChatGPT
577,Common,severe,0,0.4,ChatGPT
578,Common,mild,1,0.3,ChatGPT
579,Common,mild,0,0.4,ChatGPT
580,Very Common,severe,1,0.3,ChatGPT
581,Very Common,severe,0,0.4,ChatGPT
582,Very Common,mild,1,0.4,ChatGPT
583,Very Common,mild,0,0.75,ChatGPT
584,Probable,severe,1,0.7,ChatGPT
585,Probable,severe,0,0.7,ChatGPT
586,Probable,mild,1,0.7,ChatGPT
587,Probable,mild,0,0.6,ChatGPT
588,Likely,severe,1,0.7,ChatGPT
589,Likely,severe,0,0.7,ChatGPT
590,Likely,mild,1,0.7,ChatGPT
591,Likely,mild,0,0.7,ChatGPT
592,Usual,severe,1,0.5,ChatGPT
593,Usual,severe,0,0.2,ChatGPT
594,Usual,mild,1,0.3,ChatGPT
595,Usual,mild,0,0.5,ChatGPT
596,Very Likely,severe,1,0.9,ChatGPT
597,Very Likely,severe,0,0.7,ChatGPT
598,Very Likely,mild,1,0.8,ChatGPT
599,Very Likely,mild,0,0.8,ChatGPT
600,Rare,severe,1,0.01,ChatGPT
601,Rare,severe,0,0.05,ChatGPT
602,Rare,mild,1,0.05,ChatGPT
603,Rare,mild,0,0.05,ChatGPT
604,Uncommon,severe,1,0.05,ChatGPT
605,Uncommon,severe,0,0.05,ChatGPT
606,Uncommon,mild,1,0.1,ChatGPT
607,Uncommon,mild,0,0.1,ChatGPT
608,Unlikely,severe,1,0.05,ChatGPT
609,Unlikely,severe,0,0.2,ChatGPT
610,Unlikely,mild,1,0.2,ChatGPT
611,Unlikely,mild,0,0.1,ChatGPT
612,Possible,severe,1,0.2,ChatGPT
613,Possible,severe,0,0.3,ChatGPT
614,Possible,mild,1,0.2,ChatGPT
615,Possible,mild,0,0.2,ChatGPT
616,Common,severe,1,0.2,ChatGPT
617,Common,severe,0,0.25,ChatGPT
